column_0,column_1,column_2,column_3,column_4
134522,1,2024-12-10T05:45:06,home,180
134527,2,2024-12-03T23:01:52,away,-200
134527,2,2024-12-03T23:01:52,home,160
134529,2,2024-12-03T23:12:05,away,155
134529,2,2024-12-03T23:12:05,home,-200
134550,2,2024-12-11T02:04:13,away,-200
134550,2,2024-12-11T02:04:13,home,165
134568,2,2024-12-18T00:59:49,away,165
134568,2,2024-12-18T00:59:49,home,-200
134572,1,2024-12-30T23:01:32,away,-200
134572,1,2024-12-30T23:01:32,home,170
134576,1,2024-12-30T23:01:32,away,195
134576,1,2024-12-30T23:01:32,home,-235
134576,1,2024-12-30T23:01:32,away,170
134576,1,2024-12-30T23:01:32,home,-200
134576,1,2024-12-30T23:01:32,away,150
134576,1,2024-12-30T23:01:32,home,-200
134584,1,2024-12-30T04:25:54,away,185
134584,1,2024-12-30T04:25:54,home,-225
134584,1,2024-12-30T04:25:54,away,170
134584,1,2024-12-30T04:25:54,home,-200
134584,1,2024-12-30T04:25:54,away,145
134584,1,2024-12-30T04:25:54,home,-190
134628,2,2024-08-08T23:16:41,away,160
134628,2,2024-08-08T23:16:41,home,-200
134640,2,2024-08-08T23:16:42,away,150
134640,2,2024-08-08T23:16:42,home,-200
134648,2,2024-08-12T12:14:13,away,-200
134648,2,2024-08-12T12:14:13,home,150
134657,2,2024-08-12T12:19:10,away,150
134657,2,2024-08-12T12:19:10,home,-200
134668,2,2024-08-19T13:14:35,away,150
134668,2,2024-08-19T13:14:35,home,-200
134673,2,2024-08-19T13:14:35,away,150
134673,2,2024-08-19T13:14:35,home,-200
