mlb_game_pk,date_played,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi
744837,7/3/2024,0.74300000000000000,0.6584195605565777,0.6679999999999999,0.6616333119014585,0.7430,0.6584,0.6680,0.6616
744838,7/2/2024,0.74100000000000000,0.6762001620695375,0.67100000000000000,0.7461883781753429,0.7410,0.6762,0.6710,0.7462
744839,6/16/2024,0.63300000000000000,0.7167735873616072,0.66700000000000000,0.6521390786290644,0.6330,0.7168,0.6670,0.6521
744840,7/1/2024,0.73900000000000000,0.7161877401137474,0.6719999999999999,0.7088613397822269,0.7390,0.7162,0.6720,0.7089
744841,6/20/2024,0.7290000000000001,0.8413733273338487,0.6659999999999999,0.6975702977270466,0.7290,0.8414,0.6660,0.6976
744842,6/19/2024,0.7330000000000001,0.7341082941229888,0.6659999999999999,0.7975024336907596,0.7330,0.7341,0.6660,0.7975
744843,6/18/2024,0.72800000000000000,0.8379999743535554,0.6699999999999999,0.6618644905007995,0.7280,0.8380,0.6700,0.6619
744844,6/6/2024,0.72000000000000000,0.6042067113439954,0.65700000000000000,0.6644581593859837,0.7200,0.6042,0.6570,0.6645
744845,6/7/2024,0.72000000000000000,0.6023833829456091,0.65700000000000000,0.6680143569612487,0.7200,0.6024,0.6570,0.6680
744846,6/15/2024,0.63700000000000000,0.7991540084711517,0.6639999999999999,0.7651877208329798,0.6370,0.7992,0.6640,0.7652
744847,6/14/2024,0.6379999999999999,0.8467294360795321,0.66100000000000000,0.7101942309131037,0.6380,0.8467,0.6610,0.7102
744848,6/8/2024,0.71600000000000000,0.6831048236742794,0.65500000000000000,0.7089745668144771,0.7160,0.6831,0.6550,0.7090
744849,6/9/2024,0.71400000000000000,0.6810818869638979,0.65900000000000000,0.8637418629604706,0.7140,0.6811,0.6590,0.8637
744850,6/4/2024,0.6930000000000001,0.8425917483876667,0.66300000000000000,0.6798779168598362,0.6930,0.8426,0.6630,0.6799
744851,5/25/2024,0.6679999999999999,0.6252233434710801,0.6619999999999999,0.6295720965637235,0.6680,0.6252,0.6620,0.6296
744852,6/5/2024,0.69800000000000000,0.6231731351301095,0.6599999999999999,0.7944165562992924,0.6980,0.6232,0.6600,0.7944
744853,5/24/2024,0.6739999999999999,0.6667963308844893,0.65900000000000000,0.7200101150659962,0.6740,0.6668,0.6590,0.7200
744854,6/3/2024,0.68800000000000000,0.5683191757222369,0.6599999999999999,0.69107942798070300,0.6880,0.5683,0.6600,0.6911
