"game_id","date_played","away_team_id","home_team_id","away_score","home_score","winner","loser","created_at"
"744951","2024-04-15",147,141,1,3,"home","away","2025-05-19 12:45:18.46742-04"
"746974","2024-04-15",114,111,6,0,"away","home","2025-05-19 12:45:18.46742-04"
"746002","2024-04-15",135,158,7,3,"away","home","2025-05-19 12:45:18.46742-04"
"746406","2024-04-15",144,117,6,1,"away","home","2025-05-19 12:45:18.46742-04"
"747213","2024-04-15",112,109,3,2,"away","home","2025-05-19 12:45:18.46742-04"
"745268","2024-04-15",113,136,3,9,"home","away","2025-05-19 12:45:18.46742-04"
"745677","2024-04-15",138,133,3,1,"away","home","2025-05-19 12:45:18.46742-04"
"746005","2024-04-17",135,158,0,1,"home","away","2025-05-19 12:45:19.072421-04"
"747051","2024-04-16",142,110,3,11,"home","away","2025-05-19 12:45:18.780242-04"
"745836","2024-04-17",134,121,1,9,"home","away","2025-05-19 12:45:19.072421-04"
"746081","2024-04-16",137,146,3,6,"home","away","2025-05-19 12:45:18.780242-04"
"746401","2024-04-17",144,117,5,4,"away","home","2025-05-19 12:45:19.072421-04"
"745104","2024-04-18",108,139,1,2,"home","away","2025-05-19 12:45:19.23999-04"
"744948","2024-04-17",147,141,6,4,"away","home","2025-05-19 12:45:19.072421-04"
"746159","2024-04-17",120,119,2,0,"away","home","2025-05-19 12:45:19.072421-04"
"746004","2024-04-16",135,158,6,3,"away","home","2025-05-19 12:45:18.780242-04"
"745671","2024-04-17",138,133,3,6,"home","away","2025-05-19 12:45:19.072421-04"
"747212","2024-04-17",112,109,5,3,"away","home","2025-05-19 12:45:19.072421-04"
"745267","2024-04-17",113,136,1,5,"home","away","2025-05-19 12:45:19.072421-04"
"746809","2024-04-17",118,145,1,2,"home","away","2025-05-19 12:45:19.072421-04"
"746157","2024-04-16",120,119,2,6,"home","away","2025-05-19 12:45:18.780242-04"
"746486","2024-04-16",140,116,2,4,"home","away","2025-05-19 12:45:18.780242-04"
"745837","2024-04-16",134,121,1,3,"home","away","2025-05-19 12:45:18.780242-04"
"746400","2024-04-16",144,117,6,2,"away","home","2025-05-19 12:45:18.780242-04"
"744944","2024-04-16",147,141,4,5,"home","away","2025-05-19 12:45:18.780242-04"
"745674","2024-04-16",138,133,3,2,"away","home","2025-05-19 12:45:18.780242-04"
"747214","2024-04-16",112,109,11,12,"home","away","2025-05-19 12:45:18.780242-04"
"745270","2024-04-16",113,136,1,3,"home","away","2025-05-19 12:45:18.780242-04"
"745593","2024-04-16",115,143,0,5,"home","away","2025-05-19 12:45:18.780242-04"
"745108","2024-04-16",108,139,6,7,"home","away","2025-05-19 12:45:18.780242-04"
"746976","2024-04-16",114,111,10,7,"away","home","2025-05-19 12:45:18.780242-04"
"746970","2024-04-18",114,111,5,4,"away","home","2025-05-19 12:45:19.23999-04"
"746892","2024-04-19",146,112,3,8,"home","away","2025-05-19 12:45:19.42631-04"
"746807","2024-04-17",118,145,4,2,"away","home","2025-05-19 12:45:19.072421-04"
"745591","2024-04-17",115,143,6,7,"home","away","2025-05-19 12:45:19.072421-04"
"745356","2024-04-18",109,137,0,5,"home","away","2025-05-19 12:45:19.23999-04"
"746973","2024-04-17",114,111,0,2,"home","away","2025-05-19 12:45:19.072421-04"
"746487","2024-04-17",140,116,5,4,"away","home","2025-05-19 12:45:19.072421-04"
"745105","2024-04-17",108,139,5,4,"away","home","2025-05-19 12:45:19.072421-04"
"746729","2024-04-19",108,113,1,7,"home","away","2025-05-19 12:45:19.42631-04"
"745430","2024-04-19",141,135,5,1,"away","home","2025-05-19 12:45:19.42631-04"
"746160","2024-04-19",121,119,9,4,"away","home","2025-05-19 12:45:19.42631-04"
"745758","2024-04-19",139,147,3,5,"home","away","2025-05-19 12:45:19.42631-04"
"745922","2024-04-19",116,142,5,4,"away","home","2025-05-19 12:45:19.42631-04"
"745189","2024-04-19",158,138,2,1,"away","home","2025-05-19 12:45:19.42631-04"
"745352","2024-04-19",109,137,17,1,"away","home","2025-05-19 12:45:19.42631-04"
"745518","2024-04-19",111,134,8,1,"away","home","2025-05-19 12:45:19.42631-04"
"744872","2024-04-19",117,120,5,3,"away","home","2025-05-19 12:45:19.42631-04"
"745592","2024-04-19",145,143,0,7,"home","away","2025-05-19 12:45:19.42631-04"
"746650","2024-04-19",133,114,2,10,"home","away","2025-05-19 12:45:19.42631-04"
"746325","2024-04-19",110,118,4,9,"home","away","2025-05-19 12:45:19.42631-04"
"747136","2024-04-19",140,144,3,8,"home","away","2025-05-19 12:45:19.42631-04"
"746316","2024-04-21",110,118,5,0,"away","home","2025-05-19 12:45:19.965999-04"
